id,Author,Text,User Location,Tweet Country,created_at
1356275731156922371,asil09,"RT @NewsHour: WATCH LIVE: White House holds briefing on COVID-19 pandemic
  https://t.co/DYSCBzQ6NM",Wakanda,None,2021-02-01 16:18:27
1356275731433738243,GEORGIE80583350,Without question!!!,,United States,2021-02-01 16:18:27
1356275731500838914,vcheffone,RT @jaketapper: TDB: The WI pharmacist who sabotaged hundreds of doses of the Moderna coronavirus vaccine bc he thought COVID-19 was a hoax…,North Carolina ,None,2021-02-01 16:18:27
1356275732364849152,WPJ4,RT @jaketapper: TDB: The WI pharmacist who sabotaged hundreds of doses of the Moderna coronavirus vaccine bc he thought COVID-19 was a hoax…,"Nashville, TN",None,2021-02-01 16:18:27
1356275733660897280,some4mv,High Prevalence of Pulmonary Sequelae at 3 Months after Hospital Discharge in Mechanically Ventilated Survivors of… https://t.co/s0epRrnFmI,,None,2021-02-01 16:18:27
1356275733837066241,SouzaEluam,RT @ReutersScience: LIVE: The White House COVID-19 response team gives an update https://t.co/ivPKpocoQe,WORLD,None,2021-02-01 16:18:27
1356275733837053952,HissyFitz2,"RT @NewsHour: WATCH LIVE: White House holds briefing on COVID-19 pandemic
  https://t.co/DYSCBzQ6NM","Virginia, USA",None,2021-02-01 16:18:27
1356275733870620676,StacyMichelleB,"RT @thetimes: Captain Sir Tom Moore, the 100-year-old war veteran who has raised millions for NHS charities, is in hospital after testing p…","Mobile,  Alabama",None,2021-02-01 16:18:27
1356275734885650434,Just_Clive,"RT @SimpleCovid: Estimating risk of COVID-19 infection

1. Estimate risk
- is the location crowded? ventilated? for how long will you be th…","England, United Kingdom",None,2021-02-01 16:18:28
1356275735384780801,AlolikaMondal,"RT @Lens_tax: The Union Minister for Finance &amp; Corporate Affairs, Smt Nirmala Sitharaman presented the Union Budget 2021-22 in Parliament t…",,None,2021-02-01 16:18:28
1356275736378748928,IUMediaSchool,"RT @OnTopicWithIU: Non-profits were hit hard. 

We talked with @IUONeillSchool's Kirsten Grønbjerg about the challenges:

https://t.co/6caT…","Bloomington, Indiana",None,2021-02-01 16:18:28
1356275737326706689,some4mv,Rapid Translation of COVID-19 Preprint Data into Critical Care Practice https://t.co/uzLkUgP7WT #SoMe4MV from @ATSBlueEditor,,None,2021-02-01 16:18:28
